id,ingredients
0,"Creme de Cacao, Vodka"
1,"Absolut Kurant, Grand Marnier, Chambord raspberry liqueur, Midori melon liqueur, Malibu rum, Amaretto, Cranberry juice, Pineapple juice"
2,"Lager, Tequila"
3,"Malibu rum, Light rum, 151 proof rum, Dark Creme de Cacao, Cointreau, Milk, Coconut liqueur, Vanilla ice-cream"
4,"Dark rum, Light rum, Vodka, Orange juice"
5,"Goldschlager, Jägermeister, Rumple Minze, 151 proof rum"
6,"151 proof rum, Wild Turkey"
7,"Jack Daniels, Johnnie Walker, Jim Beam"
8,"Gin, Light rum, Tequila, Triple sec, Vodka, Coca-Cola, Sweet and sour, Bitters, Lemon"
9,"Peach Vodka, Coca-Cola"
10,"Vanilla vodka, Grand Marnier, Orange juice"
11,"Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up"
12,"Gin, 7-Up, Lemon juice"
13,"Kahlua, Bailey's irish cream, Frangelico"
14,"Absolut Citron, Orange Curacao, Strawberry liqueur, Orange juice"
15,"Coconut rum, Amaretto, Orange juice, Grenadine"
16,"Light rum, Ginger beer, Lemon peel"
17,"Vodka, Peach schnapps, Orange juice, Cranberry juice"
18,"Light rum, Añejo rum, Orange juice, Lemon juice, Ginger ale, Lemon peel"
19,"Amaretto, Southern Comfort, Ice, Sour mix"
20,"Cranberry juice, Soda water, Midori melon liqueur, Creme de Banane"
21,"Amaretto, Lemon, Ice, Maraschino cherry"
22,"Vodka, Kirschwasser, Strawberry liqueur, Strawberries, Schweppes Russchian"
23,"Applejack, Grapefruit juice"
24,"White Creme de Menthe, Southern Comfort, Vodka, Hot chocolate"
25,"Gin, Grand Marnier, Lemon Juice, Grenadine"
26,"Amaretto, Bailey's irish cream, Cognac"
27,"151 proof rum, Wild Turkey"
28,"Absolut Vodka, Gin, Tonic water"
29,"Gin, Orange bitters, Orange, Cherry"
30,"Gin, Sweet Vermouth, Orange Juice, Angostura Bitters"
31,"Dark rum, Peach nectar, Orange juice"
32,"Vodka, Sugar, Anise, Licorice root, Wormwood"
33,"Absolut Citron, Pisang Ambon, Ice, Bitter lemon"
34,"Absolut Kurant, Midori melon liqueur, Cranberry juice, Sprite"
35,"Absolut Vodka, Peach schnapps, Coconut liqueur, Cranberry juice, Pineapple juice"
36,"Absolut Citron, Sweet and sour, Sprite, Soda water, Lemon"
37,"Absolut Citron, Lime juice, Ice, Tonic water"
38,"Absolut Vodka, Cranberry juice, Ginger ale, Ice"
39,"Vodka, Cranberry Juice, Champagne"
40,"Absolut Citron, Orange juice, Triple sec, Ginger ale"
41,"Light rum, Triple sec, Lime juice, Sugar, Egg white, Mint"
42,"Gin, Grenadine, Heavy cream, Milk, Egg White"
43,"Dark rum, Lemon juice, Grenadine"
44,"Gin, Cognac, Creme de Cassis, Fresh Lemon Juice"
45,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice"
46,"Vodka, Lemonade, Water, Sugar"
47,"Sweet Vermouth, Dry Vermouth, Soda Water"
48,"Gin, Vermouth"
49,"Vodka, Grenadine, Orange juice"
50,"Rum, Dry Vermouth, Cognac, Gin, Fresh Lime Juice, Sugar Syrup, Water"
51,"Sweet Vermouth, Sherry, Orange bitters"
52,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda"
53,"Scotch, Sweet Vermouth, Dry Vermouth, Orange bitters"
54,"Apricot brandy, Triple sec, Lime, Lime"
55,"Peppermint schnapps, Kahlua, Bailey's irish cream"
